n	date	hash	files	ins	del	A	M	D	R	areas	subject	body
143	2026-06-24T19:47	88294c2a	1	408	83	0	1	0	0	notebooks	Fix historical flows DataFrame processing and update execution counts	- Changed variable name from `historical_flows_df` to `historical_flows_df_raw` for clarity. ⏎ - Updated execution counts for several cells to reflect the new order of operations. ⏎ - Removed error handling for `facilities_capacities_per_commodity_cat_df` as it was not present in the `ResolvedModelData` class. ⏎ - Enhanced merging logic for historical flows to include planned and realized target capacities. ⏎ - Updated DataFrame column names to reflect new capacity calculations. ⏎ - Adjusted output display to show the correct number of columns after modifications.
144	2026-06-25T16:48	60e4b680	3	2629	25	2	1	0	0	docs,notebooks	Fix execution counts and update facility costs in test_pipeline.ipynb; address SettingWithCopyWarning and adjust paths for data loading	
145	2026-06-25T17:12	51daf6b4	1	52	2	0	1	0	0	docs	Add section on unified automaton for user trips and rebalancing in transaction model	
146	2026-06-25T19:10	7225c8e6	1	248	305	0	1	0	0	docs	Implement code changes to enhance functionality and improve performance	
147	2026-06-25T21:50	8efe2e8b	2	77	934	0	2	0	0	gbp,notebooks	Refactor code structure for improved readability and maintainability	
148	2026-06-25T23:23	52fb263c	16	240	45	1	13	0	2	.claude,Notations.md,docs,gbp,tests	Refactor flow journal module: rename journal to flows, update references	- Renamed the journal module to flows across the codebase for clarity. ⏎ - Updated all references in the simulator, validation, and loader modules to point to the new flows module. ⏎ - Adjusted method and parameter names in SimulationState to reflect the new terminology. ⏎ - Added a new flows.py module that encapsulates flow event schema, builders, and read-models. ⏎ - Introduced unit tests for flow-event builders to ensure correct event structure and validation. ⏎ - Updated invariants and scenarios tests to align with the new flows module.
149	2026-06-26T12:24	308b3ee5	0	0	0	0	0	0	0		Merge pull request #4 from vlzm/city_bike_mvp_accounting	Refactor code structure for improved readability and maintainability
150	2026-06-26T12:28	69be42c6	0	0	0	0	0	0	0		Merge pull request #5 from vlzm/city_bike_mvp	City bike mvp
151	2026-06-26T19:15	aab6393c	2	966	1028	0	2	0	0	gbp,notebooks	Refactor code structure for improved readability and maintainability	
152	2026-06-26T20:17	9f3560f6	0	0	0	0	0	0	0		Merge pull request #6 from vlzm/city_bike_mvp	Refactor code structure for improved readability and maintainability
153	2026-06-29T22:06	4d5f6a9c	21	3892	402	4	17	0	0	.claude,CLAUDE.md,Notations.md,docs,gbp,notebooks,tests	Refactor code for improved readability and consistency	- Updated formatting in `tests/invariants.py` to enhance clarity. ⏎ - Refactored DataFrame creation in `tests/scenarios.py` for better readability. ⏎ - Improved formatting in `tests/test_flows.py` for consistency and clarity. ⏎ - Simplified DataFrame sorting in `tests/test_scenarios.py`. ⏎ - Added new tests for inventory moments and redirect neighbor table functionality.
154	2026-06-29T22:58	9bdf096b	11	748	570	0	11	0	0	Notations.md,docs,gbp,notebooks,tests	Refactor phase_rank calculation in scenarios	- Updated the _history function to compute phase_rank using the timing rule, ensuring consistency with the finalized journal. ⏎ - Modified the test_step_id_is_a_pure_function_of_the_journal test to use the new phase_rank calculation method, reinforcing the dependency of step_id on period_id, phase_rank, and redirect_round.
155	2026-06-30T14:37	61f8aa0c	11	638	114	1	10	0	0	.claude,CLAUDE.md,Notations.md,docs,gbp,tests	feat: implement step_id stamping at step opening	- Introduced a run-global step counter in SimulationState to assign step_id when phases open inventory steps. ⏎ - Updated DockArrivals and FormDeparturesPhase to open steps and stamp step_id on events. ⏎ - Modified finalize_flows to trust stamped step_id for the simulator and derive it for the historical loader. ⏎ - Changed references from redirect_round to phase_round in relevant places to reflect the new design. ⏎ - Added tests to ensure distinct step_ids for separate opens and validate that stamped step_id matches the old tuple-derived values.
156	2026-06-30T18:59	aa710891	2	1867	750	0	2	0	0	gbp,notebooks	Refactor code structure for improved readability and maintainability	Co-authored-by: Copilot <copilot@github.com>
157	2026-06-30T21:38	cf87a493	3	324	162	1	2	0	0	gbp,notebooks	Add functions for initial inventory and capacity calculations in dataloader_graph	- Implemented `get_replay_initial_inventory_df` to determine the minimum initial inventory required to avoid stockouts during replay. ⏎ - Added `get_replay_capacities_df` to calculate the smallest dock capacities needed to prevent redirects during the simulation. ⏎ - Updated `ResolvedModelData` to utilize the new inventory and capacity functions, ensuring a more accurate simulation environment. ⏎ - Adjusted the test and check pipeline notebooks to reflect changes in inventory scaling and capacity calculations. ⏎  ⏎ Co-authored-by: Copilot <copilot@github.com>
158	2026-07-03T13:49	7fb97161	5	91	2865	0	5	0	0	gbp,notebooks,tests	Rename inventory_after to quantity_eop in _period_end_inventory_from_moments function and update related test to reflect this change	
159	2026-07-03T14:42	3b727ed0	5	235	48	1	4	0	0	Notations.md,gbp,notebooks	feat: add sizing run functionality to measure initial inventory and capacities	
160	2026-07-03T16:14	8d04f1ee	12	926	447	0	12	0	0	Notations.md,docs,gbp,notebooks,tests	Refactor flow journal invariants and enhance scenario tests	- Updated the flow journal invariants to improve the validation of event sequences and ensure proper handling of move_id and event_id relationships. ⏎ - Introduced new scenarios: `overflow_delayed` and `redirect_chain` to test complex redirect behaviors in the simulation. ⏎ - Enhanced existing tests to validate the correct behavior of redirected flows, including handling of delayed docking and multiple redirects. ⏎ - Adjusted the test framework to ensure that the journal remains well-formed under new conditions introduced by the updated scenarios.
161	2026-07-03T17:05	e2aea565	20	2162	907	3	17	0	0	Notations.md,docs,gbp,notebooks,pyproject.toml,tests	feat: update dependencies and enhance tests	- Added type hints for requests in dev dependencies. ⏎ - Updated scenario tests to reflect changes in run invariants from I1-I4 to I1-I5. ⏎ - Refactored the run function to utilize a canonical phases list, simplifying the phase management. ⏎ - Introduced new tests for docking mechanics, ensuring correct behavior under various conditions. ⏎ - Added tests for sizing functionality, verifying that the initial inventory and dock capacities meet demand without mutation of scenario data.
162	2026-07-03T20:41	41a12939	8	809	107	5	3	0	0	.claude,AGENTS.md,CLAUDE.md,gbp,notebooks,other_staff	feat: introduce Citi Bike Simulation Platform documentation and codebase updates	- Added AGENTS.md to outline the Citi Bike Simulation Platform, including commands for installation, linting, and type checking. ⏎ - Expanded CLAUDE.md with new answer style guidelines for chat interactions. ⏎ - Updated settings.local.json to include new skills for artifact design. ⏎ - Introduced new functionality in the test_pipeline notebook, adjusting paths and execution counts for improved accuracy. ⏎ - Added detailed documentation for the DockArrivals phase in both cursor_gpt_answer.md and cursor_opus_answer.md, explaining its mechanics and interactions. ⏎ - Created Untitled file for plan_overflow_redirect functionality. ⏎ - Enhanced overall codebase clarity and maintainability through structured documentation.
163	2026-07-03T21:43	249ec6f0	12	414	38	2	10	0	0	.claude,Notations.md,docs,gbp,notebooks,tests	feat: enhance trip duration and distance calculations in simulation	- Updated Notations.md to clarify the definitions of travel time and distance in the context of the simulation. ⏎ - Introduced a new documentation file for trip distance and duration, detailing the computation methods and their implications. ⏎ - Refactored the mechanics of leg duration calculations to include fallback estimates based on great-circle distance when no historical data is available. ⏎ - Added a new function to calculate mean riding speed from historical trips, improving the accuracy of travel time estimates for redirects. ⏎ - Enhanced the simulation's handling of overflow redirects to ensure correct travel time estimation based on both historical data and distance calculations. ⏎ - Updated tests to validate the new functionality and ensure correct behavior under various scenarios.
164	2026-07-04T18:12	51d0769c	7	152	3	0	7	0	0	.claude,Notations.md,gbp,notebooks,tests	feat: add riding time and cost calculations to flow events	- Updated Notations.md to include definitions for `elapsed_periods`, `rate`, and `cost`, enhancing clarity on flow event metrics. ⏎ - Implemented `flows_with_costs` function to enrich flow event data with cumulative riding time and accrued costs based on rates. ⏎ - Modified `get_flows_wide` to integrate the new cost calculations, ensuring accurate representation of flow events. ⏎ - Enhanced test scenarios to validate the correct computation of riding time and costs across various flow events, including historical and simulated data. ⏎ - Updated notebooks to demonstrate the new functionality and its implications for trip costing.
165	2026-07-04T19:18	ba0b69be	15	1788	12	12	3	0	0	CLAUDE.md,Notations.md,app,pyproject.toml,tests	feat: update CLI commands and enhance documentation for UI integration	- Modified CLAUDE.md to include new installation command for UI dependencies and updated linting and formatting commands to include the app directory. ⏎ - Added new commands for running the Streamlit UI and executing scenarios from the terminal. ⏎ - Expanded Notations.md with detailed descriptions of run artifacts, clarifying the structure and purpose of files generated during simulations. ⏎ - Updated pyproject.toml to replace the deprecated `viz` section with a new `ui` section for Streamlit and pydeck dependencies.
166	2026-07-04T19:42	73a50082	8	73	11	1	7	0	0	.claude,Notations.md,app,notebooks	feat: enhance period handling and UI integration with wall-clock times	- Added `t0` to `meta.json` to represent the wall-clock start of period 0, improving time representation in the UI. ⏎ - Updated `Notations.md` to include the new `t0` definition and its role in period calculations. ⏎ - Implemented `period_start_time` function to convert period IDs to wall-clock times, enhancing clarity in visualizations. ⏎ - Modified various UI components to display period start times instead of plain period IDs when available. ⏎ - Enhanced facility detail and trip map views to utilize the new time representation, improving user experience.
167	2026-07-04T21:00	edf00540	17	1054	242	6	11	0	0	Notations.md,app,docs,gbp,notebooks,scripts,tests	feat: integrate OSRM routing for distance and travel time calculations	- Introduced a new `Routes` class to handle distance and travel time queries between facilities, supporting both haversine and OSRM modes. ⏎ - Updated `Notations.md` to include detailed descriptions of the new routing capabilities and their implications for trip calculations. ⏎ - Refactored various components to utilize the new routing system, including the mechanics of leg duration calculations and flow event processing. ⏎ - Enhanced the CLI and UI to support routing mode selection, allowing users to choose between straight-line and road network distance measurements. ⏎ - Added documentation for setting up and using OSRM with the project, ensuring users can leverage road network data for more accurate travel time estimates. ⏎ - Updated tests and notebooks to validate the new routing functionality and demonstrate its impact on simulation outcomes.
168	2026-07-04T23:42	645285f2	25	1209	553	3	22	0	0	Notations.md,app,docs,gbp,notebooks,tests	feat: enhance flow metrics and artifact generation	- Added new metrics to `Notations.md`, including `duration_periods`, `measures`, `redirects`, and `losses`, improving clarity on flow event data. ⏎ - Refactored `build_panel` to utilize new `flows_to_*` functions for calculating departed, arrived, redirected, and lost demand metrics, reducing redundancy. ⏎ - Updated `build_arcs` to include endpoint coordinates for each arc, enhancing trip mapping capabilities. ⏎ - Modified the runner to streamline the scenario execution process, consolidating sizing and running logic into a single function. ⏎ - Enhanced UI components to reflect new metrics and improve user experience in visualizations and data displays. ⏎ - Updated tests and documentation to validate new functionalities and ensure accurate representation of flow metrics.
169	2026-07-05T14:00	514d0291	12	1643	44	2	10	0	0	AGENTS.md,CLAUDE.md,Notations.md,gbp,pyproject.toml,tests	feat: implement overnight rebalancing functionality in simulation	- Introduced a new rebalancing module to manage bike movements between stations by truck during off-peak hours, enhancing inventory management. ⏎ - Updated `Notations.md` to include detailed descriptions of rebalancing concepts, including `rebalance`, `undocking`, and `target inventory`. ⏎ - Refactored the simulation phases to incorporate rebalancing logic, ensuring seamless integration with existing flow event processing. ⏎ - Enhanced the `SimulationState` to track the bike-level rebalance plan, facilitating execution across periods. ⏎ - Added comprehensive tests to validate rebalancing calculations, planning, and execution, ensuring robustness in various scenarios. ⏎ - Updated documentation and examples to demonstrate the new rebalancing capabilities and their impact on overall simulation outcomes.
170	2026-07-05T20:26	f5046687	10	450	108	0	10	0	0	Notations.md,app,gbp,notebooks,tests	feat: add truck fleet and rebalancing capabilities to simulation	- Implemented functionality for overnight rebalancing, allowing trucks to move bikes between stations during off-peak hours. ⏎ - Updated `Notations.md` to include new parameters related to rebalancing, such as `home depot` and `truck fleet`. ⏎ - Enhanced the `runner` and `artifacts` modules to support truck fleet configuration and rebalancing settings. ⏎ - Refactored the simulation phases to accommodate the new rebalancing logic, ensuring trucks start and end at their designated depots. ⏎ - Added UI components for configuring truck homes and capacities, improving user interaction for rebalancing scenarios. ⏎ - Updated tests to validate the new rebalancing features and ensure correct behavior across various scenarios.
171	2026-07-05T21:13	8087fdff	10	424	70	2	8	0	0	Notations.md,app,tests	feat: enhance simulation with truck trip visualization and download capabilities	- Added a new page for visualizing truck trips, displaying bike movements during overnight rebalancing on a map. ⏎ - Implemented a download page for exporting raw output tables of saved runs as CSV files, improving data accessibility. ⏎ - Updated `Notations.md` to include descriptions of new features related to truck trips and data downloads. ⏎ - Enhanced the UI to support new pages and improved user interaction for analyzing truck movements and downloading data. ⏎ - Refactored existing components to accommodate the new functionalities and ensure seamless integration with the simulation workflow. ⏎ - Updated tests to validate the new truck trip visualizations and download features, ensuring robustness across scenarios.
172	2026-07-05T23:10	b6b87655	1	479	0	1	0	0	0	docs	feat: add deployment plan documentation for Azure hosting	- Introduced a comprehensive deployment plan for hosting the simulation core and Streamlit application on Azure, targeting up to 10 users. ⏎ - Documented the current architecture, including the use of Azure Container Apps and Azure Files for data management. ⏎ - Outlined a step-by-step approach for preparing the code for deployment, including environment variable management and Docker setup. ⏎ - Provided detailed descriptions of the target architecture and data storage solutions, ensuring clarity on the deployment process. ⏎ - Established criteria for readiness at each stage, facilitating a structured approach to deployment.
173	2026-07-06T17:38	3bc60488	8	3155	12	2	6	0	0	.dockerignore,.gitignore,README.md,app,gbp,tests,uv.lock	feat: add .dockerignore and update data directory handling	- Introduced a .dockerignore file to exclude unnecessary files from Docker builds, optimizing image size. ⏎ - Updated .gitignore to clarify the handling of the .uv directory. ⏎ - Enhanced the README.md with installation instructions and data layout details for better user guidance. ⏎ - Refactored data directory handling in the artifacts and runner modules to support environment variable configuration for data paths. ⏎ - Adjusted test fixtures to align with the new data directory structure, ensuring consistency in test environments.
174	2026-07-06T17:45	50687583	3	60	0	2	1	0	0	Dockerfile,README.md,docker-compose.yml	feat: add Docker support with docker-compose and Dockerfile	- Introduced a docker-compose.yml file to facilitate the deployment of the application and OSRM routing server. ⏎ - Created a Dockerfile to define the application environment, including dependencies and configuration for running the Streamlit app. ⏎ - Updated README.md with instructions for running the application using Docker, enhancing user accessibility and setup guidance.
175	2026-07-06T18:29	6d6daee6	17	491	51	2	9	0	6	"docs,Notations.md,docs,gbp,tests	feat: enhance documentation and clarify code understanding levels	- Added a new document outlining the levels of code understanding, addressing the cognitive debt associated with AI-assisted coding. ⏎ - Introduced a structured approach to understanding code, detailing five levels from user interface knowledge to in-depth module internals. ⏎ - Created a comprehensive plan for canonical documentation, ensuring clarity and consistency across project artifacts. ⏎ - Updated existing documentation to reflect new insights and decisions regarding code comprehension and documentation practices.
176	2026-07-06T18:52	710f32c4	7	1090	108	2	3	0	2	docs,tests	feat: add comprehensive scenario documentation and testing framework	- Introduced a new document cataloging canonical scenarios for the simulator, detailing the flow events and their corresponding tables. ⏎ - Created a structured approach to building scenarios, including user-trip and rebalancing scenarios, with clear explanations of their construction and expected outcomes. ⏎ - Added a testing framework that validates the scenarios against the real engine, ensuring the accuracy of the documented tables and flow events. ⏎ - Enhanced existing test files to incorporate new scenario setups and validation checks, improving overall test coverage and reliability. ⏎ - Updated relevant documentation to reflect the new scenario structures and testing methodologies, ensuring clarity and consistency across project artifacts.
177	2026-07-06T19:07	0d4d586e	7	473	0	1	1	0	5	docs	feat: update documentation and restructure archive files	- Added a new `simulator.md` document detailing the internal workings of the simulation, including phases, state management, and event processing. ⏎ - Merged content from `trip_distance_and_duration.md` into the new `simulator.md` for better organization and clarity. ⏎ - Created several new archive documents, including `move_id_event_id_plan.md`, `transaction_model.ru.md`, and `wide_panel.ru.md`, to outline key concepts and plans for future implementation. ⏎ - Established a clear status for each document, indicating whether they are approved, conceptual, or in planning stages. ⏎ - Updated the Russian version of the `transaction_model` to align with the new structure and provide comprehensive insights into the simulation's transactional nature. ⏎ - Enhanced the overall documentation framework to improve accessibility and understanding of the simulation's architecture and functionality.
178	2026-07-06T19:13	9ab0bc42	3	378	1	1	2	0	0	docs	feat: add rebalancing documentation and new file for detailed processes	- Introduced `rebalancing.md`, outlining the mechanics of bike movement between stations, including planning and execution phases. ⏎ - Updated `documentation_plan_ru.md` to reference the new rebalancing document and clarify the status of related materials. ⏎ - Enhanced the `simulator.md` to link to `rebalancing.md`, improving navigation and understanding of the simulation's architecture. ⏎ - Provided comprehensive explanations of rebalancing concepts, including demand management and planning strategies, to aid in future development and understanding.
179	2026-07-06T19:21	c720c88c	4	750	180	2	1	1	0	"docs,docs	feat: add Russian and English versions of code comprehension levels documentation	- Created `comprehension_levels.md` and `comprehension_levels_ru.md` to outline five levels of code understanding, addressing cognitive debt in AI-assisted coding. ⏎ - Ensured both documents are synchronized and provide a structured approach to understanding code from user interface knowledge to in-depth module internals. ⏎ - Updated `documentation_plan_ru.md` to reference the new comprehension documents and clarify the status of related materials. ⏎ - Removed the outdated Cyrillic version of the comprehension levels document to streamline documentation.
180	2026-07-06T19:29	faec52a7	4	254	0	2	2	0	0	README.md,docs	feat: enhance documentation with new English and Russian README files	- Added `README.md` and `README_ru.md` as entry points for project documentation, outlining project details, setup instructions, and repository structure. ⏎ - Updated `documentation_plan_ru.md` to reference the new README files, ensuring clarity on documentation navigation. ⏎ - Improved accessibility for both English and Russian-speaking users by providing comprehensive guides on how to run the simulator and understand the project structure.
181	2026-07-06T21:01	d7081549	2	662	282	1	0	1	0	docs	feat: restructure documentation by removing outdated Russian plan and adding detailed simulator guide	- Deleted `documentation_plan_ru.md` to streamline documentation and eliminate historical context. ⏎ - Introduced `simulator_clear.md`, providing a comprehensive step-by-step explanation of the simulation process, including code structure, phases, and state management. ⏎ - Enhanced clarity and accessibility of simulator documentation for users, ensuring a better understanding of the simulation's architecture and functionality.
182	2026-07-06T21:26	de1cbeaa	2	420	0	2	0	0	0	.claude,docs	feat: add documentation-style skill for project clarity and structure	- Introduced a new `SKILL.md` file detailing guidelines for writing, rewriting, and reviewing project documentation in Markdown format. ⏎ - Established clear steps for documentation creation, language usage, vocabulary consistency, and structural organization to enhance clarity and accessibility. ⏎ - Aimed to improve the overall quality of project documentation, ensuring that new readers can easily understand the content and its context.
183	2026-07-06T21:31	3610e1d1	5	946	1779	0	3	2	0	docs	feat: consolidate and enhance rebalancing documentation	- Deleted `rebalancing_clear.md` and integrated its content into `rebalancing.md` for a more streamlined and comprehensive guide on bike movement logistics. ⏎ - Updated `rebalancing.md` to include detailed explanations of the rebalancing process, phases, and data handling, improving clarity and accessibility for users. ⏎ - Enhanced the overall structure of the documentation to ensure a cohesive understanding of the rebalancing mechanics within the simulation framework.
184	2026-07-06T22:02	6e0764c3	8	1031	18	3	5	0	0	.claude,docs	feat: expand documentation with new app and dataloader guides	- Added `app.md` to provide a detailed overview of the application structure, including the flow from execution to the web interface. ⏎ - Introduced `dataloader.md` to explain the data loading process, detailing how raw CSV data is transformed into `ResolvedModelData`. ⏎ - Enhanced the `flow_journal.md` to clarify the role of the flow journal in the simulation, including event definitions and processing. ⏎ - Updated `README.md` and `README_ru.md` to reference the new documents, improving navigation and understanding of the project structure. ⏎ - Aimed to improve overall documentation clarity and accessibility for users, facilitating better comprehension of the system's architecture and functionality.
185	2026-07-06T22:07	40675e6f	2	45	38	0	2	0	0	docs	fix: clarify documentation on saved runs and flow journal processing	- Updated `app.md` to specify that saved-run pages read only saved files and clarified the role of `DATA_DIR` in data management. ⏎ - Revised descriptions in `flow_journal.md` to enhance understanding of event processing, including the finalization of journal entries and the handling of order columns. ⏎ - Improved consistency in terminology and explanations throughout the documentation to aid user comprehension of the system's functionality.
186	2026-07-06T22:20	5a39202e	1	398	0	1	0	0	0	docs	feat: add deepening candidates documentation for architecture review	- Introduced `deepening_candidates.md`, outlining refactoring candidates identified during the architecture review on 2026-07-06. ⏎ - Document details the transition from shallow to deep modules, emphasizing testability and easier navigation. ⏎ - Includes a status legend for tracking candidate progress and a vocabulary section to clarify terms used in the review. ⏎ - Provides a comprehensive overview of candidates, their layers, and proposed solutions to enhance module behavior and maintainability.
187	2026-07-06T23:22	b0423b3f	30	1783	1794	0	30	0	0	Notations.md,app,docs,gbp,notebooks,tests	feat: enhance documentation and refactor data loading functions	- Updated `Notations.md` to clarify the role of `SimulationState.apply_step_events` and the order of phases in the simulation process. ⏎ - Revised `artifacts.py` to streamline the loading of various tables, replacing direct calls with typed accessors for better maintainability. ⏎ - Improved `ui_shared.py` by adding new functions for loading specific tables and rebalancing settings, enhancing code clarity and usability. ⏎ - Refactored view files to utilize the new loading functions, ensuring consistency across the application. ⏎ - Enhanced documentation in `app.md` to reflect changes in data loading processes and clarify the relationship between the model layer and the UI.
188	2026-07-07T10:26	f025fd2a	19	900	119	2	17	0	0	Notations.md,app,docs,gbp,pyproject.toml,tests	Refactor data handling and validation with pandera and pydantic	- Updated home.py to access RunMeta attributes directly instead of using string keys. ⏎ - Introduced a new data contracts plan document outlining the implementation of data contracts using pandera and pydantic. ⏎ - Enhanced EnvironmentConfig to validate configuration parameters during initialization. ⏎ - Updated Phase class to use Literal types for routing mode and dock arrival settings. ⏎ - Implemented pandera schemas for various data tables in dataloader_graph.py and dataloader_raw.py, ensuring data integrity at load time. ⏎ - Added checks for journal schema violations in validation.py and during historical flow retrieval. ⏎ - Created a new journal_schema.py to define the flow journal schema and associated validation logic. ⏎ - Updated tests to reflect changes in data access patterns and added new tests for rebalancing settings.
189	2026-07-07T11:41	15c38d3f	9	258	47	1	8	0	0	Notations.md,app,docs,gbp,tests	feat: enhance run metadata with inputs and code version tracking; update documentation and tests	
190	2026-07-07T13:02	88cd6ef2	11	902	36	4	7	0	0	CLAUDE.md,Notations.md,app,docs,pyproject.toml,tests	feat: Implement run-artifact API with FastAPI	- Added `app/api.py` to serve run artifacts over HTTP, allowing for starting runs and retrieving run statuses. ⏎ - Introduced `app/api_client.py` for HTTP client functions to interact with the API. ⏎ - Updated `app/ui_shared.py` to support fetching runs and tables from the API when `API_URL` is set. ⏎ - Modified `app/views/run_scenario.py` to handle runs via the API, including polling for status updates. ⏎ - Enhanced `app/views/downloads.py` and `app/views/home.py` to integrate with the new API for listing runs and downloading tables. ⏎ - Created `docs/api.md` to document the API design and endpoints. ⏎ - Added tests for the API in `tests/test_app_api.py` to ensure functionality and correctness. ⏎ - Updated `pyproject.toml` to include FastAPI and Uvicorn dependencies.
191	2026-07-07T13:38	0e9b0afb	3	246	3	1	2	0	0	docs	feat: Add architecture documentation with system diagrams and module depth table	
192	2026-07-07T15:06	9c44d54b	12	371	151	0	11	0	1	Notations.md,README.md,docs,gbp	docs: fix every mismatch and coverage gap from the 2026-07-07 audit	Facts (audit 1.1-1.5): remove the two fabricated runtime checks from ⏎ rebalancing.md and simulator.md, re-quote _event_deltas and describe its ⏎ two delegators in flow_journal.md, correct the loader row of Who Calls ⏎ What, scope the marginals key claim, fix app.md's loader-caller and ⏎ cache-key claims to the two-backend reality, and align dataloader.md ⏎ with the code (get_depots, build order, journal schema check, the ⏎ closing check_engine_tables call). Fix the stale I1-I4 comment in ⏎ flows.py. ⏎  ⏎ API story (audit 2.1, 1.6, 2.9): rewrite api.md from a design plan to a ⏎ description of the running service, document app/api_client.py, add the ⏎ missing endpoint details (404 rules, run_name pattern, worker-time ⏎ dataset build), add api.md and the three app files to both READMEs, fix ⏎ the install commands to include the api extra, and add the two-backends ⏎ note to app.md. ⏎  ⏎ Coverage gaps (audit 2.2-2.8): full runner flag list in app.md, the ⏎ sizing_scale_factor mechanism and the construction guards in ⏎ simulator.md, the run-time journal schema check framing, the pandera ⏎ schema layer in dataloader.md, the missing journal functions in the ⏎ flow_journal.md code map, and the rebalancing config guards and full ⏎ plan column list. ⏎  ⏎ Archive deepening_candidates.md (audit 1.7): an executed plan that ⏎ quotes deleted code. ⏎  ⏎ Co-Authored-By: Claude Fable 5 <noreply@anthropic.com>
193	2026-07-07T15:11	1a039bf5	29	465	102	1	15	0	13	.claude,CLAUDE.md,Notations.md,README.md,app,docs,gbp,notebo	docs: restructure docs/ into explanation, guides, and method folders	Move the code explainers (architecture, dataloader, simulator, ⏎ rebalancing, flow_journal, app, api, scenarios) to docs/explanation/, ⏎ the how-to guide (osrm_setup) to docs/guides/, and the way-of-working ⏎ documents (comprehension_levels, working-method, with their Russian ⏎ companions) to docs/method/. The two READMEs stay at the top as the ⏎ entry point. ⏎  ⏎ Update every path that referenced the moved files: the DOC_PATH ⏎ constant and docstrings of tests/test_docs_scenarios.py, the ⏎ docs/explanation/api.md references in app/api.py, app/api_client.py, ⏎ app/ui_shared.py, app/views/run_scenario.py, tests/test_app_api.py and ⏎ CLAUDE.md, the osrm_setup path in gbp/routing.py, both root README ⏎ mentions, Notations.md, the canonical notebook comment, the ⏎ documentation-style skill, and every relative link inside docs/ ⏎ (Notations.md links from the subfolders become ../../Notations.md). ⏎  ⏎ Archive the completed docs audit (all 31 items done, pytest green: ⏎ 221 passed). ⏎  ⏎ Co-Authored-By: Claude Fable 5 <noreply@anthropic.com>
194	2026-07-07T16:25	435cf8e3	2	141	106	0	2	0	0	docs	docs: enhance architecture and dataloader documentation for clarity and accuracy	- Updated architecture.md to refine descriptions of system diagrams and module interactions, ensuring clarity in the representation of data flow and responsibilities. ⏎ - Revised dataloader.md to improve explanations of the data loading process, including the handling of raw trip CSVs and the construction of initial inventory and capacity tables. ⏎ - Enhanced terminology and consistency throughout both documents to better align with the code and improve user understanding of the system's functionality.
195	2026-07-10T11:34	3885268e	2	348	1	1	1	0	0	CLAUDE.md,docs	feat: Add implementation plan for ML demand forecasting phase	
196	2026-07-10T11:37	8dc8245e	1	127	0	1	0	0	0	docs	feat: Add ML cloud phase decision document outlining Azure service choices and project scope	
197	2026-07-10T11:43	5424b9e6	2	25	4	0	2	0	0	CLAUDE.md,Notations.md	docs: update CLAUDE.md and Notations.md for clarity on demand forecasting phase and canonical scenario	
198	2026-07-10T13:13	2c588f8d	10	1017	9	4	6	0	0	Notations.md,app,gbp,notebooks,tests	feat: Implement forecast demand functionality	- Added a new module for building and saving forecast demand tables, including seasonal naive forecasting. ⏎ - Introduced functions for generating forecast periods, mapping OD matrices by hour of week, and applying forecast demand to resolved model data. ⏎ - Enhanced the run scenario view to support selecting between historical demand and forecast demand. ⏎ - Created a Jupyter notebook to demonstrate the forecast pipeline, including loading trips, generating forecasts, and running simulations. ⏎ - Developed comprehensive tests for the forecast functionality, ensuring accuracy in demand calculations and artifact handling.
199	2026-07-10T13:59	06ba3e7b	17	1044	21	11	6	0	0	.dvc,.dvcignore,.gitignore,CLAUDE.md,Notations.md,data,gbp,p	feat: Implement data downloading and schema harmonization for Citi Bike trips	- Added `gbp/ml/data.py` to handle downloading monthly Citi Bike trip files, extracting CSVs, and harmonizing schemas from old and new formats. ⏎ - Introduced `gbp/ml/training.py` to build the training table from raw trip data, ensuring zero rows are kept for stations with no departures. ⏎ - Updated `pyproject.toml` to include DVC as a dependency for machine learning workflows. ⏎ - Enhanced tests in `tests/test_dataloader_raw.py` to verify cleaning logic for out-of-area and reversed trip times. ⏎ - Created new tests in `tests/test_ml_data.py` for data downloading, schema mapping, and CSV extraction logic. ⏎ - Added tests in `tests/test_ml_training.py` to validate the training table builder and ensure idempotency of parquet partitions.
200	2026-07-10T15:16	cdc8e294	13	1264	38	3	10	0	0	Notations.md,data,docs,gbp,pyproject.toml,tests	feat: Implement stockout share computation and integrate with training table	- Add station status module to compute stockout shares based on archived station data. ⏎ - Update training module to include stockout share in the training table schema and during partition building. ⏎ - Enhance data loading functions to download and process station status dumps. ⏎ - Introduce weather data handling in training table construction. ⏎ - Create comprehensive tests for feature building, stockout share calculations, and integration with training data. ⏎ - Ensure training table and forecast input maintain identical feature values for the same station-day.
